,completion_time,sequential,rmsd,success,multi,weighted_multi
reconstruction_mse,0.4294893947704397,0.7695798828063316,0.8372889761443645,0.8207418482921449,0.7655124325236782,0.8842403169999511
completion_time_correlation,0.13491938258068378,0.3756274502941388,0.1924646722554479,0.18565413879348708,0.18834863601667068,0.29065990161825617
trial_no_correlation,-0.03814613464952578,-0.05331599654016249,-0.04654393348200511,-0.038071614283169186,-0.03357566437158989,-0.043144070076628016
rmsd_correlation,0.06206734915434879,0.2382865652361397,0.09213982008175828,0.11371449810904621,0.11397704255057738,0.16391788083840478
success_accuracy,0.46669391091132,0.3391908459337965,0.45688598283612586,0.46669391091132,0.45525132815692687,0.36044135676338374
completion_time_consistency,0.4464877353577753,0.3599752807425596,0.35072139558602206,0.4530334298020817,0.3721287268011435,0.3575612848358287
trial_no_consistency,0.1411978449806242,0.1415386011525583,0.14199211234783973,0.1407814785421156,0.14277513219691307,0.14121833990702234
rmsd_consistency,0.010937793635264237,0.011140151196751175,0.011219277243737754,0.011720827683301576,0.011420411004796988,0.011141903108659992
is_success_consistency,0.7870044953003678,0.7195749897834083,0.7076420106252553,0.8203514507560278,0.7338782182263996,0.7197384552513281
