metric,roc_auc,pr_auc,best_f1,alpha,beta1,beta2,window
min_dist_rep,0.5521340007532702,0.5402893718248507,0.6994248562140535,0.05,0.1,0.9,120
knn_avg_rep_minParams,0.4961995950614445,0.5026175791986723,0.692673168292073,0.05,0.1,0.9,120
min_dist_rep_knnParams,0.5521340007532702,0.5402893718248507,0.6994248562140535,0.05,0.1,0.9,120
knn_avg_rep,0.4961995950614445,0.5026175791986723,0.692673168292073,0.05,0.1,0.9,120
fused_min_knn_cluster,0.482194450426368,0.4816271080831333,0.6780028340418438,0.05,0.1,0.9,120
