algo,k,silhouette,mean_purity,eps
KMeans,3.0,0.4788995075158015,0.9624278390904298,
KMeans,5.0,0.40540564212681895,0.9823133482308872,
KMeans,7.0,0.29019718342351025,0.9712975639429166,
DBSCAN,,0.3610612800294291,1.0,0.5
DBSCAN,,0.6701523491150428,0.9995473064735174,1.0
DBSCAN,,0.25324112439006835,0.9982042072857876,1.5
