,train_loss,val_loss,recon_loss,contrastive_loss
0,4.268409652225042,3.5834190949149756,1.9052853007997064,2.3631243532564103
1,2.5574628071403964,3.455233809740647,0.2714292215810272,2.2860335927032676
2,2.4988729585746876,3.3635326261105747,0.2284790798322665,2.270393878582315
3,2.471766205590227,3.3617785909901494,0.2131275873412502,2.2586386120059587
4,2.4535856284471746,3.2967766963917278,0.20140285146722603,2.25218277808829
5,2.447359618205424,3.4405022419017293,0.18825737003927046,2.259102248539359
6,2.4194883470385182,3.266064923742543,0.17427184013875324,2.2452165094761236
7,2.409955135846542,3.20322150769441,0.16563498398591256,2.244320150582034
8,2.412349864876588,3.170474067978237,0.16123928283239752,2.2511105872239674
9,2.3935132733846114,3.233224765114162,0.1544905196059017,2.239022757470175
10,2.397700718470982,3.124544225309206,0.15211555920541286,2.2455851618949207
11,2.3851742193138916,3.201194944589034,0.14903920097953074,2.2361350174966215
12,2.3797152716368797,3.188425027805826,0.14172957429197813,2.237985694812516
13,2.3836278009068304,3.185242422249006,0.14090036568581407,2.242727433509457
14,2.3719692299498774,3.0716001287750574,0.13562628465815116,2.236342943465161
15,2.3588879148838884,3.0743600648382436,0.13163669070693468,2.2272512225781456
16,2.3604419820245184,3.1665888532348303,0.12763474979234937,2.232807234903802
17,2.358252171887035,3.04572069644928,0.12462072067760996,2.2336314496636103
18,2.352839545245321,3.021722198828407,0.12246333516302088,2.2303762105417597
19,2.3487371327513356,3.0878942271937495,0.11935253499964248,2.2293845957762968
20,2.341987543908505,3.126086095105047,0.11487975607222492,2.2271077934535306
21,2.338115428175245,3.0196443847987964,0.11102301982732052,2.2270924127130765
22,2.333329994655406,2.993182961059653,0.10794826678832492,2.2253817236163713
23,2.334293675769039,2.9803743155106255,0.10518895979794803,2.229104708528403
24,2.32309129451724,3.023154486780581,0.10364096824893813,2.2194503275880515
25,2.3340511010287748,2.971613583357438,0.10103154252283275,2.2330195603590033
26,2.3289729088328364,2.921921976234602,0.09743323639434363,2.2315396708379933
27,2.3345640355103243,2.9366350549718607,0.09745547124105743,2.2371085619522355
28,2.3332792247756053,2.915344989818075,0.09366780366369729,2.239611424199028
29,2.3143462857668973,2.9165966536687766,0.09037672203472763,2.2239695660427174
30,2.319100897479577,2.9654000725435172,0.08992732466890795,2.229173573685616
31,2.30921132137354,2.8799322610316067,0.08535303812492052,2.223858280129929
32,2.313555637225689,2.922281052755273,0.08383197955264017,2.2297236542724814
33,2.302160128987153,2.9312329901301344,0.08115116539146282,2.2210089649472917
34,2.2994668959994002,2.872757166624069,0.08108379743197261,2.2183830990629683
35,2.303106588976724,2.9053366598875625,0.07998474358640764,2.223121848146794
36,2.30292574906176,2.9327818699505017,0.0755345541794985,2.2273911930458308
37,2.2943846700266546,2.837556991888129,0.07258232906049221,2.2218023421689326
38,2.295602237052548,2.8322621648726254,0.07200374605176975,2.2235984911930187
39,2.2893035434926103,2.8865636081799217,0.06902238955894896,2.2202811515360135
40,2.284964185794387,2.840204982653908,0.06686123125012694,2.2181029569438815
41,2.2736964002071223,2.9250139879143755,0.06411811141844063,2.2095782883808055
42,2.2817587205919168,2.787143016638963,0.06255080547413763,2.2192079160750344
43,2.2805034741939703,2.86539256831874,0.06250456216509429,2.2179989136448786
44,2.2808983343276794,2.7810073300548224,0.06144066087757271,2.2194576738244396
45,2.2829436693006797,2.894596269597178,0.0586211552288717,2.2243225132870617
46,2.2726175515184104,2.78577957853027,0.05684054968004807,2.2157769995509278
47,2.3396896965278553,2.8186219412347544,0.0579518104937789,2.281737880325779
48,2.267105757468549,2.8004642634288124,0.052180073905587376,2.214925681996288
49,2.2658880068661227,2.818812025629956,0.050371254740742916,2.2155167542704657
