,reconstruction_mse,endpoint_error,curvature_error,completion_time,rmsd,success,completion_time_consistency,rmsd_consistency,is_success_consistency
Full_STCRL,0.08597495521269008,0.071701740979089164,1.576838191312902,0.8937631663695728,0.5397747996043878,0.9550158145530357,0.9848421018689106,0.5943955443372583,0.98829298191848
No_Contrastive,0.19726557847039372,0.021532020905949904,70.69218725316665,0.12260612960880272,0.0007385275705249044,-0.019984390676658075,0.979094556511682,0.6239757080953775,0.9752375114924915
Only_CompletionTime,0.1688938977872478,0.011187918406600753,93.89297982758167,0.9030152239932185,0.6159475067869994,-0.8945050801063263,0.9893945779321305,0.5770641372093702,0.9833282255593012
Only_RMSD,0.1813516712966649,0.009556386108491934,113.1295388913622,-0.9917657697972475,-0.6647098088467365,0.8414842689788494,0.9677338045469571,0.5591628403420669,0.9659209316579835
Only_Success,0.17207673683251237,0.012337416328270645,103.8182731329226,-0.8840604071993758,-0.6336603915624425,0.964726146818248,0.9460257109965131,0.5940957956560055,0.98829298191848
No_Metadata,0.15251833474373117,0.026040188584695843,106.40223200180951,-0.9035885888593846,-0.6326131514614024,0.9573393495373297,0.9886307775582032,0.5849796333517423,0.9869445295740116
No_PositionalEncoding,0.21011756064698978,0.04018342049390662,61.771861132453466,-0.6000187430178939,-0.3620867790210189,0.3252150544116532,0.9778203776860686,0.5773094122495632,0.9542139135764633
No_DualStream,0.1996388810997208,0.016838902803868346,72.04665879642262,0.49142315722347935,0.2935193735195924,-0.4018949706593999,0.9859561070001506,0.5959857259200843,0.9830830524057614
